# ops request [READ]
# type=db  id=lo-tc-radius-1
# code b6cdd9d4b1b0e4666485755e1f7b911bc142d4ab · started 2026-09-07T13:53:15Z
family                   status    reason                                                                                                                                                                                                    n    first_seen                     last_seen                    
KXENGCSSCORE             filled    (null)                                                                                                                                                                                                    3    2026-08-16 07:30:24.634456+00  2026-08-16 09:33:25.74378+00 
KXENGCSSCORE             canceled  (null)                                                                                                                                                                                                    1    2026-08-16 15:16:58.040161+00  2026-08-16 15:16:58.040161+00
KXENGCSSCORE             canceled  timeout                                                                                                                                                                                                   1    2026-08-16 07:30:29.330286+00  2026-08-16 07:30:29.330286+00
KXEPLGAME                canceled  timeout                                                                                                                                                                                                   11   2026-08-13 04:51:05.934389+00  2026-09-04 04:46:26.003045+00
KXEPLGAME                filled    (null)                                                                                                                                                                                                    1    2026-08-30 14:20:22.064821+00  2026-08-30 14:20:22.064821+00
KXEPLGAME                canceled  (null)                                                                                                                                                                                                    1    2026-08-28 19:30:12.941842+00  2026-08-28 19:30:12.941842+00
KXEPLSCORE               filled    (null)                                                                                                                                                                                                    1    2026-08-28 18:58:40.349195+00  2026-08-28 18:58:40.349195+00
KXEPLSCORE               canceled  timeout                                                                                                                                                                                                   1    2026-08-28 14:47:15.60807+00   2026-08-28 14:47:15.60807+00 
KXEPLSPREAD              canceled  (null)                                                                                                                                                                                                    2    2026-08-29 11:48:02.336679+00  2026-08-30 13:09:12.476298+00
KXEPLSPREAD              filled    (null)                                                                                                                                                                                                    1    2026-08-29 11:48:00.747403+00  2026-08-29 11:48:00.747403+00
KXEPLTOTAL               filled    (null)                                                                                                                                                                                                    7    2026-08-28 19:30:22.593334+00  2026-08-31 11:31:15.963414+00
KXEREDIVISIEGAME         filled    (null)                                                                                                                                                                                                    3    2026-08-09 13:55:28.239115+00  2026-08-16 11:37:16.499252+00
KXEREDIVISIEGAME         canceled  (null)                                                                                                                                                                                                    1    2026-08-30 15:27:30.180601+00  2026-08-30 15:27:30.180601+00
KXEREDIVISIETOTAL        filled    (null)                                                                                                                                                                                                    4    2026-08-09 10:39:07.988286+00  2026-08-30 11:08:03.910144+00
